SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Partner_encoded,Dependents_encoded,PhoneService_encoded,PaperlessBilling_encoded,Internet_DSL,Internet_Fiber optic,Internet_No,InternetService_risk,Contract_Month-to-month,Contract_One year,Contract_Two year,Contract_stability,Payment_Bank transfer (automatic),Payment_Credit card (automatic),Payment_Electronic check,Payment_Mailed check,PaymentMethod_risk,OnlineSecurity_binary,OnlineSecurity_available,OnlineBackup_binary,OnlineBackup_available,DeviceProtection_binary,DeviceProtection_available,TechSupport_binary,TechSupport_available,StreamingTV_binary,StreamingTV_available,StreamingMovies_binary,StreamingMovies_available,MultipleLines_binary,MultipleLines_available,Tenure_Long,Tenure_Loyal,Tenure_Medium,Tenure_New,tenure_years,is_new_customer,avg_monthly_charge,Charges_High,Charges_Low,Charges_Medium,high_monthly_charges,low_monthly_charges,total_services,services_available,service_adoption_rate,premium_services,has_premium,protection_services,has_protection,Contract_stability_normalized,PaymentMethod_risk_normalized,InternetService_risk_normalized,composite_risk_score,estimated_clv,revenue_per_tenure_month,spending_above_avg,senior_short_contract,family_size,has_family,full_service_customer
0,1,29.85,29.85,1,0,0,1,True,False,False,1,True,False,False,1,False,False,True,False,3,0,1,1,1,0,1,0,1,0,1,0,1,0,0,False,False,False,True,0.08333333333333333,1,29.85,False,True,False,0,1,1,6,0.16666666666666666,0,0,1,1,0.0,1.0,0.5,0.5,29.85,29.85,0,0,1,1,0
0,34,56.95,1889.5,0,0,1,0,True,False,False,1,False,True,False,2,False,False,False,True,2,1,1,0,1,1,1,0,1,0,1,0,1,0,1,True,False,False,False,2.8333333333333335,0,55.5735294117647,False,False,True,0,0,2,7,0.2857142857142857,0,0,2,1,0.5,0.5,0.5,0.5,1936.3000000000002,55.5735294117647,1,0,0,0,1
0,2,53.85,108.15,0,0,1,1,True,False,False,1,True,False,False,1,False,False,False,True,2,1,1,1,1,0,1,0,1,0,1,0,1,0,1,False,False,False,True,0.16666666666666666,1,54.075,False,False,True,0,0,2,7,0.2857142857142857,0,0,2,1,0.0,0.5,0.5,0.3333333333333333,107.7,54.075,0,0,0,0,1
0,45,42.3,1840.75,0,0,0,0,True,False,False,1,False,True,False,2,True,False,False,False,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,True,False,False,False,3.75,0,40.90555555555556,False,False,True,0,0,3,6,0.5,0,0,3,1,0.5,0.0,0.5,0.3333333333333333,1903.4999999999998,40.90555555555556,1,0,0,0,0
0,2,70.7,151.65,0,0,1,1,False,True,False,2,True,False,False,1,False,False,True,False,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,False,False,False,True,0.16666666666666666,1,75.825,True,False,False,0,0,0,7,0.0,0,0,0,0,0.0,1.0,1.0,0.6666666666666666,141.4,75.825,0,0,0,0,1
0,8,99.65,820.5,0,0,1,1,False,True,False,2,True,False,False,1,False,False,True,False,3,0,1,0,1,1,1,0,1,1,1,1,1,1,1,False,False,False,True,0.6666666666666666,0,102.5625,True,False,False,1,0,4,7,0.5714285714285714,2,1,1,1,0.0,1.0,1.0,0.6666666666666666,797.2,102.5625,0,0,0,0,1
0,22,89.1,1949.4,0,1,1,1,False,True,False,2,True,False,False,1,False,True,False,False,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,False,False,True,False,1.8333333333333333,0,88.60909090909091,True,False,False,0,0,3,7,0.42857142857142855,1,1,1,1,0.0,0.0,1.0,0.3333333333333333,1960.1999999999998,88.60909090909091,1,0,1,1,1
0,10,29.75,301.9,0,0,0,0,True,False,False,1,True,False,False,1,False,False,False,True,2,1,1,0,1,0,1,0,1,0,1,0,1,0,0,False,False,False,True,0.8333333333333334,0,30.189999999999998,False,True,False,0,1,1,6,0.16666666666666666,0,0,1,1,0.0,0.5,0.5,0.3333333333333333,297.5,30.189999999999998,0,0,0,0,0
0,28,104.8,3046.05,1,0,1,1,False,True,False,2,True,False,False,1,False,False,True,False,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,True,False,False,False,2.3333333333333335,0,108.78750000000001,True,False,False,1,0,5,7,0.7142857142857143,2,1,2,1,0.0,1.0,1.0,0.6666666666666666,2934.4,108.78750000000001,0,0,1,1,1
0,62,56.15,3487.95,0,1,1,0,True,False,False,1,False,True,False,2,True,False,False,False,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,False,True,False,False,5.166666666666667,0,56.25725806451613,False,False,True,0,0,2,7,0.2857142857142857,0,0,2,1,0.5,0.0,0.5,0.3333333333333333,3481.2999999999997,56.25725806451613,0,0,1,1,1
